id,report_date,image,animal_id,user_id,status,location_id
1,"2024-01-01 00:00:00",,8,1,on_hold,44
2,"2024-01-28 00:00:00",,7,2,completed,45
3,"2024-01-29 00:00:00",,4,3,completed,46
4,"2024-01-30 00:00:00",,1,4,checking,47
5,"2024-02-01 00:00:00",,6,5,completed,48
6,"2024-02-03 00:00:00",,2,6,completed,49
7,"2024-02-14 00:00:00",,8,7,checking,50
8,"2024-02-20 00:00:00",,11,8,checking,51
9,"2024-03-08 00:00:00",,6,9,completed,52
10,"2024-03-09 00:00:00",,1,10,completed,53
11,"2024-03-15 00:00:00",,6,11,completed,54
12,"2024-03-25 00:00:00",,5,12,completed,55
13,"2024-03-29 00:00:00",,1,13,completed,56
14,"2024-04-10 00:00:00",,2,14,checking,47
15,"2024-04-11 00:00:00",,9,15,checking,44
16,"2024-04-23 00:00:00",,5,16,completed,57
17,"2024-04-28 00:00:00",,10,17,checking,58
18,"2024-05-01 00:00:00",,7,18,completed,59
19,"2024-05-04 00:00:00",,3,19,completed,51
20,"2024-05-19 00:00:00",,9,20,completed,58
21,"2024-06-26 00:00:00",,5,21,checking,60
22,"2024-06-29 00:00:00",,9,22,checking,61
23,"2024-07-12 00:00:00",,7,23,completed,62
24,"2024-07-17 00:00:00",,11,24,checking,63
25,"2024-07-21 00:00:00",,1,25,completed,60
26,"2024-08-01 00:00:00",,2,26,checking,64
27,"2024-08-04 00:00:00",,5,27,checking,65
28,"2024-08-20 00:00:00",,10,28,checking,66
29,"2024-08-21 00:00:00",,8,29,on_hold,60
30,"2024-08-25 00:00:00",,1,30,on_hold,44
31,"2024-09-06 00:00:00",,5,31,completed,64
32,"2024-09-07 00:00:00",,1,32,completed,67
33,"2024-10-11 00:00:00",,5,33,checking,63
34,"2024-11-27 00:00:00",,1,34,checking,68
35,"2024-12-05 00:00:00",,11,35,completed,57
36,"2024-12-18 00:00:00",,8,36,completed,48
37,"2024-12-28 00:00:00",,7,37,checking,69
38,"2025-01-11 00:00:00",,3,38,checking,70
39,"2025-01-15 00:00:00",,5,39,on_hold,49
40,"2025-01-19 00:00:00",,1,40,completed,68
41,"2025-01-19 00:00:00",,11,41,completed,65
42,"2025-01-26 00:00:00",,5,42,checking,49
43,"2025-02-11 00:00:00",,6,43,on_hold,71
44,"2025-02-12 00:00:00",,1,44,on_hold,72
45,"2025-02-14 00:00:00",,6,45,completed,51
46,"2025-02-25 00:00:00",,9,46,checking,49
47,"2025-03-17 00:00:00",,11,47,on_hold,73
48,"2025-03-29 00:00:00",,1,48,completed,74
49,"2025-04-02 00:00:00",,6,49,checking,61
50,"2025-04-12 00:00:00",,9,50,completed,58
51,"2025-04-16 00:00:00",,2,51,completed,50
52,"2025-04-16 00:00:00",,1,52,checking,59
53,"2025-05-04 00:00:00",,10,53,completed,60
54,"2025-06-06 00:00:00",,5,54,on_hold,58
55,"2025-06-16 00:00:00",,3,55,checking,44
56,"2025-06-24 00:00:00",,1,1,checking,64
57,"2025-06-25 00:00:00",,2,2,completed,72
58,"2025-06-27 00:00:00",,1,3,on_hold,75
59,"2025-06-28 00:00:00",,1,4,completed,50
60,"2025-07-11 00:00:00",,5,5,completed,50
61,"2025-07-13 00:00:00",,2,6,on_hold,56
62,"2025-07-19 00:00:00",,7,7,on_hold,76
63,"2025-07-21 00:00:00",,1,8,checking,53
64,"2025-07-25 00:00:00",,8,9,on_hold,70
65,"2025-07-30 00:00:00",,10,10,checking,48
66,"2025-08-06 00:00:00",,9,11,completed,49
67,"2025-08-14 00:00:00",,6,12,on_hold,77
68,"2025-08-23 00:00:00",,1,13,completed,48
69,"2025-08-24 00:00:00",,9,14,completed,58
70,"2025-09-01 00:00:00",,1,15,checking,78
