feedback_id,report_id,user_id,admin_id,content,feedback_datetime
1,1,1,58,"보류 중입니다. 추가 확인 후 안내드리겠습니다.","2024-01-01 00:00:00"
2,2,2,57,"처리 완료되었습니다.","2024-01-28 00:00:00"
3,3,3,57,"처리 완료되었습니다.","2024-01-29 00:00:00"
4,4,4,58,"담당자 확인 중입니다.","2024-01-30 00:00:00"
5,5,5,56,"처리 완료되었습니다.","2024-02-01 00:00:00"
6,6,6,58,"처리 완료되었습니다.","2024-02-03 00:00:00"
7,7,7,57,"담당자 확인 중입니다.","2024-02-14 00:00:00"
8,8,8,57,"담당자 확인 중입니다.","2024-02-20 00:00:00"
9,9,9,58,"처리 완료되었습니다.","2024-03-08 00:00:00"
10,10,10,57,"처리 완료되었습니다.","2024-03-09 00:00:00"
11,11,11,56,"처리 완료되었습니다.","2024-03-15 00:00:00"
12,12,12,57,"처리 완료되었습니다.","2024-03-25 00:00:00"
13,13,13,58,"처리 완료되었습니다.","2024-03-29 00:00:00"
14,14,14,56,"담당자 확인 중입니다.","2024-04-10 00:00:00"
15,15,15,57,"담당자 확인 중입니다.","2024-04-11 00:00:00"
16,16,16,57,"처리 완료되었습니다.","2024-04-23 00:00:00"
17,17,17,56,"담당자 확인 중입니다.","2024-04-28 00:00:00"
18,18,18,57,"처리 완료되었습니다.","2024-05-01 00:00:00"
19,19,19,56,"처리 완료되었습니다.","2024-05-04 00:00:00"
20,20,20,58,"처리 완료되었습니다.","2024-05-19 00:00:00"
21,21,21,56,"담당자 확인 중입니다.","2024-06-26 00:00:00"
22,22,22,58,"담당자 확인 중입니다.","2024-06-29 00:00:00"
23,23,23,58,"처리 완료되었습니다.","2024-07-12 00:00:00"
24,24,24,58,"담당자 확인 중입니다.","2024-07-17 00:00:00"
25,25,25,56,"처리 완료되었습니다.","2024-07-21 00:00:00"
26,26,26,57,"담당자 확인 중입니다.","2024-08-01 00:00:00"
27,27,27,57,"담당자 확인 중입니다.","2024-08-04 00:00:00"
28,28,28,57,"담당자 확인 중입니다.","2024-08-20 00:00:00"
29,29,29,58,"보류 중입니다. 추가 확인 후 안내드리겠습니다.","2024-08-21 00:00:00"
30,30,30,58,"보류 중입니다. 추가 확인 후 안내드리겠습니다.","2024-08-25 00:00:00"
31,31,31,56,"처리 완료되었습니다.","2024-09-06 00:00:00"
32,32,32,58,"처리 완료되었습니다.","2024-09-07 00:00:00"
33,33,33,57,"담당자 확인 중입니다.","2024-10-11 00:00:00"
34,34,34,56,"담당자 확인 중입니다.","2024-11-27 00:00:00"
35,35,35,58,"처리 완료되었습니다.","2024-12-05 00:00:00"
36,36,36,56,"처리 완료되었습니다.","2024-12-18 00:00:00"
37,37,37,56,"담당자 확인 중입니다.","2024-12-28 00:00:00"
38,38,38,58,"담당자 확인 중입니다.","2025-01-11 00:00:00"
39,39,39,58,"보류 중입니다. 추가 확인 후 안내드리겠습니다.","2025-01-15 00:00:00"
40,40,40,57,"처리 완료되었습니다.","2025-01-19 00:00:00"
41,41,41,56,"처리 완료되었습니다.","2025-01-19 00:00:00"
42,42,42,57,"담당자 확인 중입니다.","2025-01-26 00:00:00"
43,43,43,58,"보류 중입니다. 추가 확인 후 안내드리겠습니다.","2025-02-11 00:00:00"
44,44,44,57,"보류 중입니다. 추가 확인 후 안내드리겠습니다.","2025-02-12 00:00:00"
45,45,45,57,"처리 완료되었습니다.","2025-02-14 00:00:00"
46,46,46,57,"담당자 확인 중입니다.","2025-02-25 00:00:00"
47,47,47,57,"보류 중입니다. 추가 확인 후 안내드리겠습니다.","2025-03-17 00:00:00"
48,48,48,56,"처리 완료되었습니다.","2025-03-29 00:00:00"
49,49,49,58,"담당자 확인 중입니다.","2025-04-02 00:00:00"
50,50,50,57,"처리 완료되었습니다.","2025-04-12 00:00:00"
51,51,51,58,"처리 완료되었습니다.","2025-04-16 00:00:00"
52,52,52,56,"담당자 확인 중입니다.","2025-04-16 00:00:00"
53,53,53,58,"처리 완료되었습니다.","2025-05-04 00:00:00"
54,54,54,56,"보류 중입니다. 추가 확인 후 안내드리겠습니다.","2025-06-06 00:00:00"
55,55,55,56,"담당자 확인 중입니다.","2025-06-16 00:00:00"
56,56,1,57,"담당자 확인 중입니다.","2025-06-24 00:00:00"
57,57,2,57,"처리 완료되었습니다.","2025-06-25 00:00:00"
58,58,3,58,"보류 중입니다. 추가 확인 후 안내드리겠습니다.","2025-06-27 00:00:00"
59,59,4,56,"처리 완료되었습니다.","2025-06-28 00:00:00"
60,60,5,56,"처리 완료되었습니다.","2025-07-11 00:00:00"
61,61,6,58,"보류 중입니다. 추가 확인 후 안내드리겠습니다.","2025-07-13 00:00:00"
62,62,7,57,"보류 중입니다. 추가 확인 후 안내드리겠습니다.","2025-07-19 00:00:00"
63,63,8,58,"담당자 확인 중입니다.","2025-07-21 00:00:00"
64,64,9,58,"보류 중입니다. 추가 확인 후 안내드리겠습니다.","2025-07-25 00:00:00"
65,65,10,58,"담당자 확인 중입니다.","2025-07-30 00:00:00"
66,66,11,56,"처리 완료되었습니다.","2025-08-06 00:00:00"
67,67,12,58,"보류 중입니다. 추가 확인 후 안내드리겠습니다.","2025-08-14 00:00:00"
68,68,13,56,"처리 완료되었습니다.","2025-08-23 00:00:00"
69,69,14,56,"처리 완료되었습니다.","2025-08-24 00:00:00"
70,70,15,56,"담당자 확인 중입니다.","2025-09-01 00:00:00"
